0, 0, Header, 0, 1, 96
1, 0, Start_track
1, 0, Title_t, "MIDI Out\000"
1, 0, Time_signature, 4, 2, 36, 8
1, 0, Time_signature, 4, 2, 36, 8
1, 0, Pitch_bend_c, 0, 8192
1, 0, Control_c, 0, 6, 12
1, 0, Control_c, 0, 7, 100
1, 0, Control_c, 0, 10, 64
1, 0, Control_c, 0, 100, 0
1, 0, Control_c, 0, 101, 0
1, 0, Note_on_c, 0, 45, 81
1, 0, Note_on_c, 0, 57, 118
1, 48, Note_on_c, 0, 43, 81
1, 48, Note_off_c, 0, 45, 0
1, 48, Note_on_c, 0, 55, 118
1, 48, Note_off_c, 0, 57, 0
1, 96, Note_off_c, 0, 43, 0
1, 96, Note_on_c, 0, 45, 81
1, 96, Note_off_c, 0, 55, 0
1, 96, Note_on_c, 0, 57, 118
1, 192, Note_off_c, 0, 45, 0
1, 192, Note_off_c, 0, 57, 0
1, 240, Note_on_c, 0, 47, 81
1, 240, Note_on_c, 0, 59, 118
1, 288, Note_off_c, 0, 47, 0
1, 288, Note_on_c, 0, 48, 81
1, 288, Note_off_c, 0, 59, 0
1, 288, Note_on_c, 0, 60, 118
1, 336, Note_on_c, 0, 47, 81
1, 336, Note_off_c, 0, 48, 0
1, 336, Note_on_c, 0, 59, 118
1, 336, Note_off_c, 0, 60, 0
1, 384, Note_off_c, 0, 47, 0
1, 384, Note_on_c, 0, 48, 81
1, 384, Note_off_c, 0, 59, 0
1, 384, Note_on_c, 0, 60, 118
1, 576, Note_off_c, 0, 48, 0
1, 576, Note_off_c, 0, 60, 0
1, 768, Note_on_c, 0, 43, 81
1, 768, Note_on_c, 0, 55, 118
1, 816, Note_on_c, 0, 41, 81
1, 816, Note_off_c, 0, 43, 0
1, 816, Note_on_c, 0, 53, 118
1, 816, Note_off_c, 0, 55, 0
1, 864, Note_off_c, 0, 41, 0
1, 864, Note_on_c, 0, 43, 81
1, 864, Note_off_c, 0, 53, 0
1, 864, Note_on_c, 0, 55, 118
1, 960, Note_off_c, 0, 43, 0
1, 960, Note_off_c, 0, 55, 0
1, 1008, Note_on_c, 0, 45, 81
1, 1008, Note_on_c, 0, 57, 118
1, 1056, Note_off_c, 0, 45, 0
1, 1056, Note_on_c, 0, 47, 81
1, 1056, Note_off_c, 0, 57, 0
1, 1056, Note_on_c, 0, 59, 118
1, 1104, Note_on_c, 0, 45, 81
1, 1104, Note_off_c, 0, 47, 0
1, 1104, Note_on_c, 0, 57, 118
1, 1104, Note_off_c, 0, 59, 0
1, 1152, Note_off_c, 0, 45, 0
1, 1152, Note_on_c, 0, 47, 81
1, 1152, Note_off_c, 0, 57, 0
1, 1152, Note_on_c, 0, 59, 118
1, 1248, Note_off_c, 0, 47, 0
1, 1248, Note_off_c, 0, 59, 0
1, 1296, Note_on_c, 0, 43, 81
1, 1296, Note_on_c, 0, 55, 118
1, 1392, Note_off_c, 0, 43, 0
1, 1392, Note_off_c, 0, 55, 0
1, 1392, Note_on_c, 0, 57, 118
1, 1440, Note_on_c, 0, 40, 81
1, 1440, Note_on_c, 0, 52, 118
1, 1440, Note_off_c, 0, 57, 0
1, 1534, Note_off_c, 0, 40, 0
1, 1536, Note_off_c, 0, 52, 0
1, 3071, Pitch_bend_c, 0, 8192
1, 3071, Pitch_bend_c, 0, 8192
1, 3071, Control_c, 0, 7, 100
1, 3071, Control_c, 0, 7, 100
1, 3071, Control_c, 0, 10, 64
1, 3071, Control_c, 0, 10, 64
1, 3072, Pitch_bend_c, 0, 8192
1, 3072, Control_c, 0, 6, 12
1, 3072, Control_c, 0, 6, 12
1, 3072, Control_c, 0, 7, 100
1, 3072, Control_c, 0, 10, 64
1, 3072, Control_c, 0, 100, 0
1, 3072, Control_c, 0, 100, 0
1, 3072, Control_c, 0, 101, 0
1, 3072, Control_c, 0, 101, 0
1, 3072, End_track
0, 0, End_of_file
